,Country,TradeValue,Year,Month,TransactionType
330,Germany,266119909,2020,04,Export
331,Germany,414817233,2020,04,Import
332,Germany,781427950,2020,05,Import
333,Germany,464185989,2020,05,Export
334,Germany,592057531,2020,06,Export
335,Germany,729107932,2020,06,Import
336,Germany,813564045,2020,07,Import
337,Germany,729238106,2020,07,Export
338,Germany,711182330,2020,08,Import
339,Germany,706988215,2020,08,Export
340,Germany,734844650,2020,09,Export
341,Germany,791490755,2020,09,Import
342,Germany,720189913,2020,10,Export
343,Germany,828361672,2020,10,Import
344,Germany,659827956,2020,11,Export
345,Germany,862856379,2020,11,Import
346,Germany,758745522,2020,12,Export
347,Germany,1054951545,2020,12,Import
348,Germany,982817380,2021,01,Import
349,Germany,839025479,2021,01,Export
350,Greece,14528419,2019,01,Import
351,Greece,41352154,2019,01,Export
352,Greece,8429464,2019,02,Import
353,Greece,41497957,2019,02,Export
354,Greece,7655676,2019,03,Import
355,Greece,48580637,2019,03,Export
356,Greece,11122626,2019,04,Import
357,Greece,34170855,2019,04,Export
358,Greece,11086423,2019,05,Import
359,Greece,37738387,2019,05,Export
360,Greece,10360068,2019,06,Import
361,Greece,32283588,2019,06,Export
362,Greece,14089845,2019,07,Import
363,Greece,30657322,2019,07,Export
364,Greece,28364169,2019,08,Export
365,Greece,10586788,2019,08,Import
366,Greece,7850012,2019,09,Import
367,Greece,37457789,2019,09,Export
368,Greece,8613243,2019,10,Import
369,Greece,37267964,2019,10,Export
370,Greece,9968121,2019,11,Import
371,Greece,40532860,2019,11,Export
372,Greece,7355258,2019,12,Import
373,Greece,41789171,2019,12,Export
374,Greece,10075377,2020,01,Import
375,Greece,47846610,2020,01,Export
376,Greece,41465092,2020,02,Export
377,Greece,12648895,2020,02,Import
378,Greece,35984307,2020,03,Export
379,Greece,9949646,2020,03,Import
380,Greece,14350223,2020,04,Export
381,Greece,7786722,2020,04,Import
382,Greece,29697389,2020,05,Export
383,Greece,10454907,2020,05,Import
384,Greece,69696127,2020,06,Export
385,Greece,5405558,2020,06,Import
386,Greece,31431469,2020,07,Import
387,Greece,38883155,2020,07,Export
388,Greece,4073273,2020,08,Import
389,Greece,29135547,2020,08,Export
390,Greece,37971280,2020,09,Export
391,Greece,11653435,2020,09,Import
392,Greece,32157759,2020,10,Export
393,Greece,6999143,2020,10,Import
394,Greece,33979088,2020,11,Export
395,Greece,8204494,2020,11,Import
396,Greece,42487996,2020,12,Export
397,Greece,11115218,2020,12,Import
398,Greece,40409050,2021,01,Export
399,Greece,14236851,2021,01,Import
400,"China, Hong Kong SAR",1298721610,2019,01,Import
401,"China, Hong Kong SAR",772936259,2019,01,Export
402,"China, Hong Kong SAR",1027279142,2019,02,Import
403,"China, Hong Kong SAR",1592474690,2019,02,Export
404,"China, Hong Kong SAR",1910343083,2019,03,Import
405,"China, Hong Kong SAR",958658966,2019,03,Export
406,"China, Hong Kong SAR",1311495772,2019,04,Import
407,"China, Hong Kong SAR",771575219,2019,04,Export
408,"China, Hong Kong SAR",1490528132,2019,05,Import
409,"China, Hong Kong SAR",884769685,2019,05,Export
410,"China, Hong Kong SAR",1549916389,2019,06,Import
411,"China, Hong Kong SAR",1031627627,2019,06,Export
412,"China, Hong Kong SAR",1400330650,2019,07,Import
413,"China, Hong Kong SAR",829857638,2019,07,Export
414,"China, Hong Kong SAR",810113337,2019,08,Export
415,"China, Hong Kong SAR",1379232444,2019,08,Import
416,"China, Hong Kong SAR",1856653974,2019,09,Import
417,"China, Hong Kong SAR",1334178849,2019,09,Export
418,"China, Hong Kong SAR",1315176357,2019,10,Import
419,"China, Hong Kong SAR",989867373,2019,10,Export
420,"China, Hong Kong SAR",1413955344,2019,11,Import
421,"China, Hong Kong SAR",737184060,2019,11,Export
422,"China, Hong Kong SAR",1430350860,2019,12,Import
423,"China, Hong Kong SAR",752408079,2019,12,Export
424,"China, Hong Kong SAR",1467913540,2020,01,Import
425,"China, Hong Kong SAR",702252032,2020,01,Export
426,"China, Hong Kong SAR",619079058,2020,02,Export
427,"China, Hong Kong SAR",1064883553,2020,02,Import
428,"China, Hong Kong SAR",1253530862,2020,03,Import
429,"China, Hong Kong SAR",1034155983,2020,03,Export
430,"China, Hong Kong SAR",99931884,2020,04,Export
431,"China, Hong Kong SAR",325826327,2020,04,Import
432,"China, Hong Kong SAR",975863353,2020,05,Export
433,"China, Hong Kong SAR",879179545,2020,05,Import
434,"China, Hong Kong SAR",788439967,2020,06,Import
435,"China, Hong Kong SAR",749277636,2020,06,Export
436,"China, Hong Kong SAR",1549239070,2020,07,Import
437,"China, Hong Kong SAR",737606197,2020,07,Export
438,"China, Hong Kong SAR",1628443368,2020,08,Import
439,"China, Hong Kong SAR",785387233,2020,08,Export
440,"China, Hong Kong SAR",929515070,2020,09,Export
441,"China, Hong Kong SAR",1673440432,2020,09,Import
442,"China, Hong Kong SAR",1081558060,2020,10,Export
443,"China, Hong Kong SAR",1478541966,2020,10,Import
444,"China, Hong Kong SAR",953864824,2020,11,Export
445,"China, Hong Kong SAR",1164066074,2020,11,Import
446,"China, Hong Kong SAR",852002751,2020,12,Export
447,"China, Hong Kong SAR",1289458717,2020,12,Import
448,"China, Hong Kong SAR",1570548855,2021,01,Import
449,"China, Hong Kong SAR",933473786,2021,01,Export
450,Indonesia,1499382333,2019,01,Import
451,Indonesia,352959446,2019,01,Export
452,Indonesia,1123615109,2019,02,Import
453,Indonesia,447620488,2019,02,Export
454,Indonesia,1308454924,2019,03,Import
455,Indonesia,885331080,2019,03,Export
456,Indonesia,1316752699,2019,04,Import
457,Indonesia,404719635,2019,04,Export
458,Indonesia,1274015236,2019,05,Import
459,Indonesia,312042312,2019,05,Export
460,Indonesia,1108480927,2019,06,Import
461,Indonesia,286000471,2019,06,Export
462,Indonesia,1044271323,2019,07,Import
463,Indonesia,253767617,2019,07,Export
464,Indonesia,366171284,2019,08,Export
465,Indonesia,1251983843,2019,08,Import
466,Indonesia,964191003,2019,09,Import
467,Indonesia,275824391,2019,09,Export
468,Indonesia,1224708616,2019,10,Import
469,Indonesia,318037778,2019,10,Export
470,Indonesia,1365968285,2019,11,Import
471,Indonesia,351683568,2019,11,Export
472,Indonesia,2062650434,2019,12,Import
473,Indonesia,265366275,2019,12,Export
474,Indonesia,1154695283,2020,01,Import
475,Indonesia,333279246,2020,01,Export
476,Indonesia,765604900,2020,02,Export
477,Indonesia,1426201282,2020,02,Import
478,Indonesia,294296681,2020,03,Export
479,Indonesia,868456826,2020,03,Import
480,Indonesia,205801832,2020,04,Export
481,Indonesia,751680009,2020,04,Import
482,Indonesia,480642782,2020,05,Export
483,Indonesia,902429364,2020,05,Import
484,Indonesia,730248508,2020,06,Import
485,Indonesia,285966667,2020,06,Export
486,Indonesia,978487555,2020,07,Import
487,Indonesia,495105268,2020,07,Export
488,Indonesia,885690489,2020,08,Import
489,Indonesia,228791034,2020,08,Export
490,Indonesia,342264712,2020,09,Export
491,Indonesia,839936767,2020,09,Import
492,Indonesia,306211522,2020,10,Export
493,Indonesia,1030675780,2020,10,Import
494,Indonesia,323996547,2020,11,Export
495,Indonesia,1139133302,2020,11,Import
496,Indonesia,304367080,2020,12,Export
497,Indonesia,1301155449,2020,12,Import
498,Indonesia,383104563,2021,01,Export
499,Indonesia,1470861097,2021,01,Import
500,Iran,718729322,2019,01,Import
501,Iran,331725293,2019,01,Export
502,Iran,549626885,2019,02,Import
503,Iran,374626959,2019,02,Export
504,Iran,801450520,2019,03,Import
505,Iran,594548936,2019,03,Export
506,Iran,771691248,2019,04,Import
507,Iran,402262844,2019,04,Export
508,Iran,349374790,2019,05,Import
509,Iran,506653742,2019,05,Export
510,Iran,31728742,2019,06,Import
511,Iran,367250745,2019,06,Export
512,Iran,10161901,2019,07,Import
513,Iran,287286340,2019,07,Export
514,Iran,197566336,2019,08,Export
515,Iran,12766687,2019,08,Import
516,Iran,77482693,2019,09,Import
517,Iran,176442800,2019,09,Export
518,Iran,15926792,2019,10,Import
519,Iran,127328188,2019,10,Export
520,Iran,23021317,2019,11,Import
521,Iran,173107226,2019,11,Export
522,Iran,25681111,2019,12,Import
523,Iran,327822746,2019,12,Export
524,Iran,33203935,2020,01,Import
525,Iran,233992620,2020,01,Export
526,Iran,265076052,2020,02,Export
527,Iran,29866013,2020,02,Import
528,Iran,16422276,2020,03,Import
529,Iran,309333873,2020,03,Export
530,Iran,162456769,2020,04,Export
531,Iran,20493831,2020,04,Import
532,Iran,8359864,2020,05,Import
533,Iran,224074312,2020,05,Export
534,Iran,16301605,2020,06,Import
535,Iran,195242169,2020,06,Export
536,Iran,15832597,2020,07,Import
537,Iran,185178457,2020,07,Export
538,Iran,15930682,2020,08,Import
539,Iran,139596049,2020,08,Export
540,Iran,104838452,2020,09,Export
541,Iran,32484683,2020,09,Import
542,Iran,160108772,2020,10,Export
543,Iran,39599742,2020,10,Import
544,Iran,118496179,2020,11,Export
545,Iran,38523530,2020,11,Import
546,Iran,141958549,2020,12,Export
547,Iran,30418854,2020,12,Import
548,Iran,100209485,2021,01,Export
549,Iran,51175487,2021,01,Import
550,Iraq,1733037651,2019,01,Import
551,Iraq,123941676,2019,01,Export
552,Iraq,1819900546,2019,02,Import
553,Iraq,191334299,2019,02,Export
554,Iraq,1740562731,2019,03,Import
555,Iraq,141404147,2019,03,Export
556,Iraq,1827261235,2019,04,Import
557,Iraq,174459091,2019,04,Export
558,Iraq,2560679934,2019,05,Import
559,Iraq,199363672,2019,05,Export
560,Iraq,1722151704,2019,06,Import
561,Iraq,184174200,2019,06,Export
562,Iraq,1498082034,2019,07,Import
563,Iraq,142777357,2019,07,Export
564,Iraq,155073802,2019,08,Export
565,Iraq,2255774311,2019,08,Import
566,Iraq,1551296185,2019,09,Import
567,Iraq,204716167,2019,09,Export
568,Iraq,1701609866,2019,10,Import
569,Iraq,143245449,2019,10,Export
570,Iraq,2051193841,2019,11,Import
571,Iraq,164755368,2019,11,Export
572,Iraq,1608253205,2019,12,Import
573,Iraq,192520487,2019,12,Export
574,Iraq,2844495417,2020,01,Import
575,Iraq,151236657,2020,01,Export
576,Iraq,121669963,2020,02,Export
577,Iraq,2061099449,2020,02,Import
578,Iraq,87434666,2020,03,Export
579,Iraq,1840557435,2020,03,Import
580,Iraq,70880919,2020,04,Export
581,Iraq,643751320,2020,04,Import
582,Iraq,106028478,2020,05,Export
583,Iraq,516589143,2020,05,Import
584,Iraq,1129226592,2020,06,Import
585,Iraq,126389298,2020,06,Export
586,Iraq,1069799429,2020,07,Import
587,Iraq,117827175,2020,07,Export
588,Iraq,1275796980,2020,08,Import
589,Iraq,129263775,2020,08,Export
590,Iraq,160465829,2020,09,Export
591,Iraq,931540390,2020,09,Import
592,Iraq,127258359,2020,10,Export
593,Iraq,977778026,2020,10,Import
594,Iraq,128617418,2020,11,Export
595,Iraq,1008686094,2020,11,Import
596,Iraq,129871003,2020,12,Export
597,Iraq,1930190773,2020,12,Import
598,Iraq,121255090,2021,01,Export
599,Iraq,1450653703,2021,01,Import
600,Australia,1017093900,2019,01,Import
601,Australia,215649284,2019,01,Export
602,Australia,799102012,2019,02,Import
603,Australia,260991837,2019,02,Export
604,Australia,962738605,2019,03,Import
605,Australia,252351114,2019,03,Export
606,Australia,828334359,2019,04,Import
607,Australia,184822235,2019,04,Export
608,Australia,1148739407,2019,05,Import
609,Australia,218260113,2019,05,Export
610,Australia,966594810,2019,06,Import
611,Australia,216890809,2019,06,Export
612,Australia,897794989,2019,07,Import
613,Australia,305828632,2019,07,Export
614,Australia,287860069,2019,08,Export
615,Australia,1032404313,2019,08,Import
616,Australia,798876261,2019,09,Import
617,Australia,236624784,2019,09,Export
618,Australia,699778131,2019,10,Import
619,Australia,250242789,2019,10,Export
620,Australia,756042867,2019,11,Import
621,Australia,222712356,2019,11,Export
622,Australia,666166764,2019,12,Import
623,Australia,319919562,2019,12,Export
624,Australia,741956086,2020,01,Import
625,Australia,206412550,2020,01,Export
626,Australia,283925879,2020,02,Export
627,Australia,642036538,2020,02,Import
628,Australia,603911840,2020,03,Import
629,Australia,158919976,2020,03,Export
630,Australia,78757376,2020,04,Export
631,Australia,496070678,2020,04,Import
632,Australia,249683236,2020,05,Export
633,Australia,593567911,2020,05,Import
634,Australia,383744196,2020,06,Export
635,Australia,465580790,2020,06,Import
636,Australia,377530414,2020,07,Import
637,Australia,354089122,2020,07,Export
638,Australia,574907962,2020,08,Import
639,Australia,316458048,2020,08,Export
640,Australia,378002648,2020,09,Export
641,Australia,574793430,2020,09,Import
642,Australia,332621883,2020,10,Export
643,Australia,755019290,2020,10,Import
644,Australia,370179551,2020,11,Export
645,Australia,620710356,2020,11,Import
646,Australia,350349137,2020,12,Export
647,Australia,805121605,2020,12,Import
648,Australia,499852333,2021,01,Export
649,Australia,881451736,2021,01,Import
650,Israel,127103660,2019,01,Import
651,Israel,327365171,2019,01,Export
652,Israel,140489996,2019,02,Import
653,Israel,277048371,2019,02,Export
654,Israel,179809905,2019,03,Import
655,Israel,380057628,2019,03,Export
656,Israel,169339104,2019,04,Import
657,Israel,249466193,2019,04,Export
658,Israel,117918257,2019,05,Import
659,Israel,395775627,2019,05,Export
660,Israel,106186680,2019,06,Import
661,Israel,275079307,2019,06,Export
662,Israel,120922668,2019,07,Import
663,Israel,226797106,2019,07,Export
664,Israel,338414433,2019,08,Export
665,Israel,112062329,2019,08,Import
666,Israel,159605678,2019,09,Import
667,Israel,269973624,2019,09,Export
668,Israel,104384686,2019,10,Import
669,Israel,321285827,2019,10,Export
670,Israel,152212931,2019,11,Import
671,Israel,330523321,2019,11,Export
672,Israel,182855125,2019,12,Import
673,Israel,212963862,2019,12,Export
674,Israel,101844742,2020,01,Import
675,Israel,313511725,2020,01,Export
676,Israel,267062682,2020,02,Export
677,Israel,165123778,2020,02,Import
678,Israel,158018933,2020,03,Export
679,Israel,133406446,2020,03,Import
680,Israel,78012780,2020,04,Export
681,Israel,89492163,2020,04,Import
